"전기차 충전 요금(2026-04-14)","name","Column3","Column4","Column5","Column6","Column7","Column8"
"","","","","","","",""
순번,사업자명,요금유형,용량구분,회원가,"",비회원가,갱신일자
"","","","",충전요금(원),비고,충전요금(원),""
"1",기후에너지환경부,대표,급속(100kW미만),"324.4","","324.4","2026-03-13"
"2",기후에너지환경부,대표,급속(100kW이상),"347.2","","347.2","2026-03-13"
"3",E1,대표,완속,"301.4","","301.4","2026-03-13"
"4",E1,대표,급속(100kW이상),"313.1","","313.1","2026-03-13"
"5",GS차지비,대표,완속,"319","","470","2026-03-13"
"6",GS차지비,대표,급속(100kW미만),"335","","470","2026-03-13"
"7",GS차지비,대표,급속(100kW이상),"345","","470","2026-03-13"
"8",KH에너지,대표,급속(100kW미만),"347",비회원가 없음,-,"2026-03-13"
"9",KH에너지,대표,급속(100kW이상),"347",비회원가 없음,-,"2026-03-13"
"10",LG유플러스 볼트업,대표,완속,"318","","450","2026-03-13"
"11",LG유플러스 볼트업,대표,급속(100kW이상),"350","","450","2026-03-13"
"12",NICE인프라,대표,완속,"324","","324","2026-03-13"
"13",NICE인프라,대표,급속(100kW미만),"350","","350","2026-03-13"
"14",NICE인프라,대표,급속(100kW이상),"350","","350","2026-03-13"
"15",SG생활안전,대표,완속,"315","","450","2026-03-13"
"16",SG생활안전,대표,급속(100kW미만),"350","","450","2026-03-13"
"17",SG생활안전,대표,급속(100kW이상),"350","","450","2026-03-13"
"18",SK렌터카,대표,완속,"310",비회원가 없음,-,"2026-03-13"
"19",SK렌터카,대표,급속(100kW미만),"350",비회원가 없음,-,"2026-03-13"
"20",SK렌터카,대표,급속(100kW이상),"380",비회원가 없음,-,"2026-03-13"
"21",SK시그넷,대표,급속(100kW이상),"395",완속 미운영,"395","2026-03-13"
"22",SK에너지,대표,완속,"286","","286","2026-03-13"
"23",SK에너지,대표,급속(100kW미만),"347.2","","450","2026-03-13"
"24",SK일렉링크,대표,완속,"295","","590","2026-03-13"
"25",가온건설,대표,완속,"324.4",비회원가 없음,-,"2026-03-13"
"26",가온건설,대표,급속(100kW미만),"347.2",비회원가 없음,-,"2026-03-13"
"27",광성계측기,대표,완속,"240",비회원가 없음,-,"2026-03-13"
"28",광성계측기,대표,급속(100kW미만),"320",비회원가 없음,-,"2026-03-13"
"29",그리드위즈,대표,완속,"280",비회원가 없음,-,"2026-03-13"
"30",그리드위즈,대표,급속(100kW미만),"340",비회원가 없음,-,"2026-03-13"
"31",그린전력,대표,완속,"324.4",비회원가 없음,-,"2026-03-13"
"32",그린전력,대표,급속(100kW미만),"347.2",비회원가 없음,-,"2026-03-13"
"33",넥씽,대표,완속,"300","","400","2026-03-13"
"34",넥씽,대표,급속(100kW미만),"350","","400","2026-03-13"
"35",농협경제지주 신재생에너지센터,대표,완속,"274","","385","2026-03-18"
"36",농협경제지주 신재생에너지센터,대표,중속,"287","",-,"2026-03-18"
"37",농협경제지주 신재생에너지센터,대표,급속(100kW미만),"307","","385","2026-03-18"
"38",농협경제지주 신재생에너지센터,대표,급속(100kW이상),"327","","385","2026-03-18"
"39",뉴로모빌리티,대표,완속,"280","","280","2026-03-16"
"40",뉴로모빌리티,대표,급속(100kW미만),"324","","324","2026-03-16"
"41",뉴로모빌리티,대표,급속(100kW이상),"324","","324","2026-03-16"
"42",뉴텍솔루션,대표,완속,"270","","370","2026-03-13"
"43",뉴텍솔루션,대표,급속(100kW미만),"280","","440","2026-03-13"
"44",대성물류건설,대표,완속,"250","","500","2026-03-13"
"45",동양이엔피,대표,완속,"280","","280","2026-03-13"
"46",동양이엔피,대표,급속(100kW이상),"350",비회원가 없음,-,"2026-03-13"
"47",두루스코이브이,대표,완속,"250","","350","2026-03-13"
"48",두루스코이브이,대표,급속(100kW미만),"340","","400","2026-03-13"
"49",딜라이브,대표,완속,"279",비회원가 없음,-,"2026-03-30"
"50",레드이엔지,대표,완속,"260","","400","2026-03-13"
"51",레드이엔지,대표,급속(100kW미만),"400","","500","2026-03-13"
"52",롯데이노베이트,대표,급속(100kW미만),"360","","500","2026-03-13"
"53",롯데이노베이트,대표,급속(100kW이상),"380","","500","2026-03-13"
"54",리셀파워,대표,완속,"294.4","","324.4","2026-03-20"
"55",리셀파워,대표,급속(100kW미만),"306.3","","336.3","2026-03-20"
"56",리셀파워,대표,급속(100kW이상),"317.2","","347.2","2026-03-20"
"57",매니지온,대표,완속,"230","","400","2026-03-13"
"58",매니지온,대표,급속(100kW이상),"324.4","","400","2026-03-13"
"59",메가볼트,대표,완속,"290","","400","2026-03-13"
"60",메가볼트,대표,급속(100kW미만),"330","","400","2026-03-13"
"61",모던텍,대표,완속,"324.7","","380","2026-03-13"
"62",모던텍,대표,급속(100kW이상),"324.7","","380","2026-03-13"
"63",보타리에너지,대표,완속,"286.7","","286.7","2026-03-13"
"64",보타리에너지,대표,급속(100kW미만),"324.4","","324.4","2026-03-13"
"65",보타리에너지,대표,급속(100kW이상),"347.2","","347.2","2026-03-13"
"66",브라이트에너지파트너스,대표,완속,"295",비회원가 없음,-,"2026-03-13"
"67",블루네트웍스,대표,완속,"324.4","","324.4","2026-03-13"
"68",블루네트웍스,대표,급속(100kW이상),"347.2","","347.2","2026-03-13"
"69",서울시,대표,완속,"324.4",비회원가 없음,-,"2026-03-13"
"70",서울시,대표,급속(100kW미만),"324.4",비회원가 없음,-,"2026-03-13"
"71",서울씨엔지,대표,완속,"315","","450","2026-03-13"
"72",서울씨엔지,대표,급속(100kW미만),"350","","450","2026-03-13"
"73",서울씨엔지,대표,급속(100kW이상),"350","","450","2026-03-13"
"74",서현에너지,대표,완속①,"324.4","","324.4","2026-04-01"
"75",선광시스템,대표,완속,"324.4","","324.4","2026-03-13"
"76",선광시스템,대표,급속(100kW미만),"347.2","","347.2","2026-03-13"
"77",소프트베리,대표,완속,"297",주간(비회원가 없음),-,"2026-03-13"
"78",소프트베리,변동,완속①,"275",야간(비회원가 없음),-,"2026-03-13"
"79",스칼라데이터,대표,완속,"320",급속미운영,"320","2026-03-13"
"80",스타코프,대표,완속,"318",비회원가 없음,-,"2026-03-13"
"81",스타코프,대표,급속(100kW이상),"340",비회원가 없음,-,"2026-03-13"
"82",신세계아이앤씨,대표,완속②,"299",주거외,"455","2026-04-10"
"83",신세계아이앤씨,대표,완속①,"269",주거,"455","2026-04-10"
"84",신세계아이앤씨,대표,급속(100kW미만)③,"324","","455","2026-04-10"
"85",신세계아이앤씨,대표,초급속④,"347","","455","2026-04-10"
"86",아론,대표,완속,"290","","290","2026-03-13"
"87",아마노코리아,대표,완속,"276","","440","2026-03-13"
"88",아마노코리아,대표,급속(100kW이상),"330","","440","2026-03-13"
"89",아우토크립트,대표,급속(100kW미만),"320","","347.2","2026-03-13"
"90",아이마켓코리아,대표,완속,"242",비회원가 없음,-,"2026-03-13"
"91",아이마켓코리아,대표,급속(100kW이상),"330",비회원가 없음,-,"2026-03-13"
"92",아이파킹,대표,완속,"299","","400","2026-04-08"
"93",아이파킹,대표,급속(100kW미만),"345","","450","2026-04-08"
"94",아하,대표,완속,"260","","350","2026-04-10"
"95",아하,대표,급속(100kW미만),"300","","360","2026-04-10"
"96",아하,대표,급속(100kW이상),"330","","400","2026-04-10"
"97",에바,대표,완속,"260","","260","2026-03-13"
"98",에바,대표,급속(100kW이상),"319","","319","2026-03-13"
"99",에버온,대표,완속,"296","","380","2026-03-13"
"100",에버온,대표,급속(100kW미만),"324.4","","380","2026-03-13"
"101",에버온,대표,급속(100kW이상),"347.2","","380","2026-03-13"
"102",에스에스기전,대표,완속,"280","","400","2026-03-13"
"103",에스에스기전,대표,급속(100kW미만),"300","","400","2026-03-13"
"104",에스이랩,대표,완속,"230","","340","2026-03-13"
"105",엔비플러스,대표,완속,"324.4","","324.4","2026-03-13"
"106",엔비플러스,대표,급속(100kW미만),"347.2","","347.2","2026-03-13"
"107",엘에스이링크,대표,급속(100kW이상),"319",완속 미운영,"319","2026-03-13"
"108",온스테이션,대표,완속,"320",급속미운영,"420","2026-03-13"
"109",유플러스아이티,대표,완속,"290","","400","2026-03-25"
"110",유플러스아이티,대표,급속(100kW미만),"320","","400","2026-03-25"
"111",유플러스아이티,대표,급속(100kW이상),"320","","400","2026-03-25"
"112",이브이루씨,대표,완속,"292",비회원가 없음,"300","2026-03-24"
"113",이브이루씨,대표,급속(100kW이상),"340","","450","2026-03-24"
"114",이브이모드코리아,대표,완속,"290","","400","2026-03-13"
"115",이브이시스,대표,완속,"290","","500","2026-03-13"
"116",이브이시스,대표,중속,"320","","500","2026-03-13"
"117",이브이시스,대표,급속(100kW미만),"360","","500","2026-03-13"
"118",이브이시스,대표,급속(100kW이상),"380","","500","2026-03-13"
"119",이브이씨코리아,대표,완속①,"324","","324","2026-04-01"
"120",이앤에이치에너지,대표,완속,"319","","370","2026-03-13"
"121",이앤에이치에너지,대표,급속(100kW이상),"324.4","","370","2026-03-13"
"122",이에스앤에이치,대표,완속,"330","","430","2026-03-18"
"123",이에스앤에이치,대표,중속,"350","","450","2026-03-18"
"124",이에스앤에이치,대표,급속(100kW미만)③,"360","","480","2026-03-18"
"125",이에스앤에이치,대표,급속(100kW이상)④,"360","","480","2026-03-18"
"126",이엘일렉트릭,대표,완속,"260","","480","2026-03-13"
"127",이엘일렉트릭,대표,급속(100kW이상),"320","","480","2026-03-13"
"128",이웨이브,대표,완속,"250","","430","2026-03-13"
"129",이웨이브,대표,급속(100kW미만),"347.2","","430","2026-03-13"
"130",이지차저,대표,완속,"289","","450","2026-03-13"
"131",이지차저,대표,급속(100kW이상),"289",급속 프로모션으로 가격인하,"450","2026-03-13"
"132",이카플러그,대표,완속,"275",비회원가 없음,-,"2026-03-13"
"133",인큐버스,대표,급속(100kW미만),"347.2",비회원가 없음,-,"2026-03-13"
"134",일렉트리,대표,완속,"324.4","","324.4","2026-03-13"
"135",일렉트리,대표,급속(100kW미만),"347.2","","347.2","2026-03-13"
"136",임팩트연구소,대표,완속①,"320","","320","2026-04-08"
"137",제주전기자동차서비스,대표,완속,"280","","480","2026-03-13"
"138",제주전기자동차서비스,대표,급속(100kW미만),"320","","480","2026-03-13"
"139",제주전기자동차서비스,대표,급속(100kW이상),"340","","480","2026-03-13"
"140",차밥스,대표,완속,"280","","324.4","2026-03-13"
"141",차밥스,대표,급속(100kW미만),"400","","400","2026-03-13"
"142",채비,대표,완속,"275","","590","2026-03-13"
"143",채비,대표,중속,"315","","590","2026-03-13"
"144",채비,대표,급속(100kW미만),"410","","590","2026-03-13"
"145",채비,대표,급속(100kW이상),"430","","590","2026-03-13"
"146",캐스트프로,대표,완속,"324.4",급속미운영,"324.4","2026-03-13"
"147",쿨사인,대표,완속,"324.4","","324.4","2026-03-13"
"148",쿨사인,대표,급속(100kW미만),"347.2","","347.2","2026-03-13"
"149",크로커스,대표,완속,"242","","430","2026-03-13"
"150",크로커스,대표,급속(100kW이상),"330","","450","2026-03-13"
"151",클린일렉스,대표,완속,"295","","590","2026-03-25"
"152",클린일렉스,대표,급속(100kW이상),"370","","590","2026-03-25"
"153",타디스테크놀로지,대표,완속,-,계시별 요금제,"324","2026-03-27"
"154",타디스테크놀로지,대표,중속,"324","","430","2026-03-27"
"155",타디스테크놀로지,대표,급속(100kW미만),"324","","430","2026-03-27"
"156",타디스테크놀로지,대표,급속(100kW이상),"347","","430","2026-03-27"
"157",태성콘텍,대표,완속,"250","","460","2026-03-13"
"158",태성콘텍,대표,급속(100kW이상),"324.4","","460","2026-03-13"
"159",파워큐브,대표,완속,"319",비회원가 없음,-,"2026-03-13"
"160",펌프킨,대표,완속,"324.15",공용,"407","2026-03-13"
"161",펌프킨,대표,급속(100kW이상),"347.13","","400","2026-03-13"
"162",펌프킨,지역차등,급속(100kW이상)①,"320",서울시,"400","2026-03-13"
"163",펌프킨,사업차등,완속①,"219",부분공용,"240","2026-03-13"
"164",플러그링크,대표,완속,"324.4",비회원가 없음,-,"2026-04-02"
"165",플러그링크,대표,급속(100kW이상),"324.4",비회원가 없음,-,"2026-04-02"
"166",피라인모터스,대표,완속,"250","","250","2026-03-13"
"167",피라인모터스,대표,급속(100kW미만),"300","","320","2026-03-13"
"168",한국EV충전서비스센터,대표,완속,"400","","400","2026-03-13"
"169",한국EV충전서비스센터,대표,급속(100kW미만),"400","","400","2026-03-13"
"170",한국전기차인프라기술,대표,완속,"288","","380","2026-03-13"
"171",한국전기차인프라기술,대표,급속(100kW미만),"324.4","","380","2026-03-13"
"172",한국전기차인프라기술,대표,급속(100kW이상),"347.2","","380","2026-03-13"
"173",한국전기차충전서비스,대표,완속,"298","","500","2026-03-13"
"174",한국전기차충전서비스,대표,급속(100kW미만),"398","","500","2026-03-13"
"175",한국전기차충전서비스,대표,급속(100kW이상),"398","","500","2026-03-13"
"176",한국전력공사,대표,완속,"324.4","","324.4","2026-03-13"
"177",한국전력공사,대표,급속(100kW미만),"324.4","","324.4","2026-03-13"
"178",한국전력공사,대표,급속(100kW이상),"347.2","","347.2","2026-03-13"
"179",한마음장애인복지회,대표,완속,"324.4","","324.4","2026-03-13"
"180",한마음장애인복지회,대표,급속(100kW미만),"347.2","","347.2","2026-03-13"
"181",한솔엠에스,대표,완속,-,회원가 없음,"470","2026-03-13"
"182",한솔엠에스,대표,급속(100kW이상),-,급속미운영,"470","2026-03-13"
"183",한화솔루션,대표,완속,"283","","341","2026-03-13"
"184",한화솔루션,대표,급속(100kW이상),"352","","504","2026-03-13"
"185",해피차지,대표,완속,"315","","500","2026-03-13"
"186",해피차지,대표,급속(100kW미만),"337","","550","2026-03-13"
"187",현대엔지니어링,대표,완속,"292","","450","2026-03-13"
"188",현대엔지니어링,대표,급속(100kW이상),"368","","500","2026-03-13"
"189",휴맥스이브이,대표,완속,"280","","480","2026-03-13"
"190",휴맥스이브이,대표,급속(100kW미만),"320","","480","2026-03-13"
"191",휴맥스이브이,대표,급속(100kW이상),"340","","480","2026-03-13"
,씨어스,대표,완속,"324.4",,-,
,씨어스,대표,급속(100kW미만),"347.2",,-,
,차지인,대표,완속,"250.0",,-,
,차지인,대표,급속(100kW미만),"320",,-,
,원익피앤이,대표,완속,"230",,-,
,원익피앤이,대표,급속(100kW미만),"300",,-,
,GS칼텍스,대표,완속,"250",,-,
,GS칼텍스,대표,급속(100kW미만),"320",,-,
,이노케이텍,대표,완속,"324.4",,-,
,이노케이텍,대표,급속(100kW미만),"347.2",,-,
,카카오모빌리티,대표,완속,"190",,-,
,카카오모빌리티,대표,급속(100kW미만),"290",,-,
,유니이브이,대표,완속,"280",,-,
,유니이브,대표,급속(100kW미만),"310",,-,
,코콤,대표,완속,"380",,-,
,대한송유관공사,대표,완속,"250",,-,
,대한송유관공사,대표,급속(100kW미만),"320",,-,
,한전케이디엔,대표,완속,"324.4",,-,
,한전케이디엔,대표,급속(100kW미만),"347.2",,-,
,이브이페이,대표,완속,"250",,-,
,이브이페이,대표,급속(100kW미만),"320",,-,
,엘쓰리일렉트릭파워,대표,완속,"230",,-,
,엘쓰리일렉트릭파워,대표,급속(100kW미만),"320",,-,
,한국홈충전,대표,완속,"250",,-,
,한국홈충전,대표,급속(100kW미만),"320",,-,
,한진,대표,완속,"324.4",,-,
,한진,대표,급속(100kW미만),"347.4",,-,
,유한회사 골드에너지,대표,완속,"324.4",,-,
,유한회사 골드에너지,대표,급속(100kW미만),"347.2",,-,
,현대오일뱅크,대표,완속,"292",,-,
,현대오일뱅크,대표,급속(100kW미만),"368",,-,
,이브이파트너스,대표,완속,"285",,-,
,이브이파트너,대표,급속(100kW미만),"347.2",,-,
,이브이파트너스,대표,급속(100kW미만),"347.2",,-,
,롯데건설,대표,완속,"324.4",,-,
,롯데건설,대표,급속(100kW미만),"347.2",,-,
,서울에너지공사,대표,완속,"324.4",,-,
,서울에너지공사,대표,급속(100kW미만),"347.2",,-,
,티비유,대표,완속,"300",,-,
,티비유,대표,급속(100kW미만),"310",,-,
,evMost,대표,완속,"324.4",,-,
,evMost,대표,급속(100kW미만),"347.2",,-,
,기아자동차,대표,완속,"324.4",,-,
,기아자동차,대표,급속(100kW미만),"347.2",,-,
,현대자동차,대표,완속,"324.4",,-,
,현대자동차,대표,급속(100kW미만),"347.2",,-,
,환경부,대표,완속,"324.4",,"324.4",
,환경부,대표,급속(100kW미만),"347.2",,"347.2",
,환경부,대표,급속(100kW미만),"347.2",,"347.2",
,환경부환경부(한국자동차환경협회),대표,완속,"324.4",,"324.4",
,환경부(한국자동차환경협회),대표,완속,"324.4",,"324.4",
,환경부(한국자동차환경협회),대표,급속(100kW미만),"347.2",,"347.2",
