"id","gu_code","시군구명","연료_코드","연료명","용도별_코드","용도별","승용","승합","화물","특수","계"
1,,합 계,"",계,,계,2770212,79389,296086,11753,3157440
2,11320,도봉구,c,엘피지,2,비사업용,4488,328,897,11,5724
3,11110,종로구,j,CNG,2,비사업용,3,6,13,0,22
4,11110,종로구,j,CNG,1,사업용,0,69,0,0,69
5,11500,강서구,r,수소전기,2,비사업용,19,0,0,0,19
6,11320,도봉구,c,엘피지,1,사업용,3504,134,514,3,4155
7,11110,종로구,b,경유,2,비사업용,8149,2497,3123,150,13919
8,11110,종로구,b,경유,1,사업용,3,140,1302,99,1544
9,11320,도봉구,e,전기,2,비사업용,1288,3,262,9,1562
10,11500,강서구,r,수소전기,1,사업용,2,11,0,0,13
11,11110,종로구,z,기타연료,2,비사업용,1,28,67,36,132
12,11320,도봉구,e,전기,1,사업용,621,174,178,0,973
13,11500,강서구,c,엘피지,2,비사업용,8527,628,1608,18,10781
14,11110,종로구,z,기타연료,1,사업용,0,0,130,0,130
15,11320,도봉구,o,하이브리드(CNG+전기),1,사업용,0,3,0,0,3
16,11200,성동구,z,기타연료,2,비사업용,3,34,119,55,211
17,11500,강서구,c,엘피지,1,사업용,5676,89,581,7,6353
18,11500,강서구,e,전기,2,비사업용,4293,10,439,5,4747
19,11500,강서구,e,전기,1,사업용,2790,123,349,0,3262
20,11500,강서구,n,하이브리드(LPG+전기),2,비사업용,54,0,0,0,54
21,11110,종로구,q,수소,2,비사업용,85,13,0,0,98
22,11320,도봉구,n,하이브리드(LPG+전기),2,비사업용,28,1,0,0,29
23,11500,강서구,n,하이브리드(LPG+전기),1,사업용,6,0,0,0,6
24,11320,도봉구,n,하이브리드(LPG+전기),1,사업용,25,0,0,0,25
25,11500,강서구,m,하이브리드(경유+전기),2,비사업용,364,0,0,0,364
26,11200,성동구,z,기타연료,1,사업용,0,0,251,0,251
27,11200,성동구,q,수소,2,비사업용,77,0,0,0,77
28,11110,종로구,r,수소전기,2,비사업용,16,0,0,0,16
29,11320,도봉구,m,하이브리드(경유+전기),2,비사업용,82,0,0,0,82
30,11200,성동구,q,수소,1,사업용,0,6,0,0,6
31,11500,강서구,m,하이브리드(경유+전기),1,사업용,20,0,0,0,20
32,11320,도봉구,l,하이브리드(휘발유+전기),2,비사업용,7261,17,39,0,7317
33,11110,종로구,c,엘피지,2,비사업용,1166,161,346,9,1682
34,11200,성동구,r,수소전기,2,비사업용,6,0,0,0,6
35,11500,강서구,l,하이브리드(휘발유+전기),2,비사업용,18361,23,80,3,18467
36,11110,종로구,c,엘피지,1,사업용,202,1,158,0,361
37,11320,도봉구,l,하이브리드(휘발유+전기),1,사업용,90,0,3,0,93
38,11500,강서구,l,하이브리드(휘발유+전기),1,사업용,582,6,4,0,592
39,11110,종로구,e,전기,2,비사업용,1458,4,185,6,1653
40,11200,성동구,r,수소전기,1,사업용,0,6,0,0,6
41,11320,도봉구,a,휘발유,2,비사업용,13237,5,88,2,13332
42,11500,강서구,a,휘발유,2,비사업용,31941,16,151,1,32109
43,11110,종로구,e,전기,1,사업용,55,38,150,0,243
44,11200,성동구,c,엘피지,2,비사업용,2841,291,1012,7,4151
45,11320,도봉구,a,휘발유,1,사업용,15,0,0,0,15
46,11500,강서구,a,휘발유,1,사업용,119,1,0,0,120
47,11320,도봉구,h,휘발유(무연),2,비사업용,31828,16,45,0,31889
48,11200,성동구,c,엘피지,1,사업용,1676,91,303,0,2070
49,11500,강서구,h,휘발유(무연),2,비사업용,67168,39,99,2,67308
50,11200,성동구,e,전기,2,비사업용,3119,8,349,4,3480
51,11500,강서구,h,휘발유(무연),1,사업용,1526,1,0,0,1527
52,11110,종로구,n,하이브리드(LPG+전기),2,비사업용,12,0,0,0,12
53,11200,성동구,e,전기,1,사업용,545,194,112,0,851
54,11500,강서구,g,휘발유(유연),2,비사업용,57,0,0,0,57
55,11320,도봉구,h,휘발유(무연),1,사업용,225,0,0,0,225
56,11110,종로구,m,하이브리드(경유+전기),2,비사업용,113,0,0,0,113
57,11200,성동구,n,하이브리드(LPG+전기),2,비사업용,19,0,0,0,19
58,11320,도봉구,g,휘발유(유연),2,비사업용,27,0,0,0,27
59,11110,종로구,l,하이브리드(휘발유+전기),2,비사업용,4816,13,18,0,4847
60,11350,노원구,j,CNG,2,비사업용,5,10,8,0,23
61,11110,종로구,l,하이브리드(휘발유+전기),1,사업용,6,4,0,0,10
62,11350,노원구,j,CNG,1,사업용,1,466,0,0,467
63,11200,성동구,n,하이브리드(LPG+전기),1,사업용,1,0,0,0,1
64,11530,구로구,j,CNG,2,비사업용,7,10,14,0,31
65,11200,성동구,m,하이브리드(경유+전기),2,비사업용,306,0,0,0,306
66,11110,종로구,a,휘발유,2,비사업용,9383,34,76,1,9494
67,11530,구로구,j,CNG,1,사업용,0,251,0,0,251
68,11350,노원구,b,경유,2,비사업용,28094,2308,7691,235,38328
69,11110,종로구,a,휘발유,1,사업용,2,0,0,0,2
70,11530,구로구,b,경유,2,비사업용,26713,2922,11075,269,40979
71,11350,노원구,b,경유,1,사업용,48,86,1394,237,1765
72,11110,종로구,h,휘발유(무연),2,비사업용,15403,24,21,1,15449
73,11530,구로구,b,경유,1,사업용,185,105,2000,165,2455
74,11350,노원구,z,기타연료,2,비사업용,2,61,165,40,268
75,11110,종로구,h,휘발유(무연),1,사업용,11,0,0,0,11
76,11200,성동구,m,하이브리드(경유+전기),1,사업용,20,0,0,0,20
77,11350,노원구,z,기타연료,1,사업용,0,0,11,0,11
78,11530,구로구,z,기타연료,2,비사업용,0,42,206,28,276
79,11110,종로구,g,휘발유(유연),2,비사업용,14,0,0,0,14
80,11200,성동구,l,하이브리드(휘발유+전기),2,비사업용,10664,17,54,1,10736
81,11350,노원구,q,수소,2,비사업용,89,0,0,0,89
82,11530,구로구,z,기타연료,1,사업용,0,0,46,0,46
83,11140,중구,j,CNG,2,비사업용,2,1,17,0,20
84,11200,성동구,l,하이브리드(휘발유+전기),1,사업용,333,0,0,0,333
85,11350,노원구,r,수소전기,2,비사업용,12,0,0,0,12
86,11530,구로구,q,수소,2,비사업용,103,0,0,0,103
87,11140,중구,j,CNG,1,사업용,0,2,0,0,2
88,11200,성동구,a,휘발유,2,비사업용,18366,11,82,5,18464
89,11350,노원구,c,엘피지,2,비사업용,7482,439,1082,11,9014
90,11530,구로구,r,수소전기,2,비사업용,12,0,0,0,12
91,11140,중구,b,경유,2,비사업용,8183,1544,3724,190,13641
92,11350,노원구,c,엘피지,1,사업용,4492,10,489,5,4996
93,11530,구로구,c,엘피지,2,비사업용,5420,399,1420,8,7247
94,11200,성동구,a,휘발유,1,사업용,220,0,0,0,220
95,11140,중구,b,경유,1,사업용,196,283,836,86,1401
96,11350,노원구,e,전기,2,비사업용,2477,5,324,6,2812
97,11200,성동구,h,휘발유(무연),2,비사업용,30129,18,30,0,30177
98,11200,성동구,h,휘발유(무연),1,사업용,4909,0,0,0,4909
99,11530,구로구,c,엘피지,1,사업용,3384,50,428,2,3864
100,11200,성동구,g,휘발유(유연),2,비사업용,27,0,0,0,27
101,11140,중구,z,기타연료,2,비사업용,4,23,89,30,146
102,11530,구로구,e,전기,2,비사업용,2341,2,384,3,2730
103,11215,광진구,j,CNG,2,비사업용,3,2,9,0,14
104,11140,중구,z,기타연료,1,사업용,0,0,49,0,49
105,11530,구로구,e,전기,1,사업용,560,133,198,0,891
106,11215,광진구,j,CNG,1,사업용,0,122,0,0,122
107,11350,노원구,e,전기,1,사업용,781,130,195,0,1106
108,11140,중구,q,수소,2,비사업용,57,1,0,0,58
109,11530,구로구,n,하이브리드(LPG+전기),2,비사업용,47,0,0,0,47
110,11350,노원구,o,하이브리드(CNG+전기),1,사업용,0,18,0,0,18
111,11140,중구,q,수소,1,사업용,11,0,0,0,11
112,11530,구로구,n,하이브리드(LPG+전기),1,사업용,65,0,0,0,65
113,11350,노원구,n,하이브리드(LPG+전기),2,비사업용,58,0,0,0,58
114,11215,광진구,b,경유,2,비사업용,17798,1420,6480,119,25817
115,11140,중구,r,수소전기,2,비사업용,24,0,0,0,24
116,11530,구로구,m,하이브리드(경유+전기),2,비사업용,170,0,0,0,170
117,11350,노원구,n,하이브리드(LPG+전기),1,사업용,50,0,0,0,50
118,11215,광진구,b,경유,1,사업용,217,154,1073,89,1533
119,11140,중구,c,엘피지,2,비사업용,998,631,527,7,2163
120,11530,구로구,m,하이브리드(경유+전기),1,사업용,8,0,0,0,8
121,11350,노원구,m,하이브리드(경유+전기),2,비사업용,162,0,0,0,162
122,11215,광진구,z,기타연료,2,비사업용,1,43,97,18,159
123,11140,중구,c,엘피지,1,사업용,233,0,117,0,350
124,11350,노원구,m,하이브리드(경유+전기),1,사업용,1,0,0,0,1
125,11530,구로구,l,하이브리드(휘발유+전기),2,비사업용,12419,21,65,1,12506
126,11350,노원구,l,하이브리드(휘발유+전기),2,비사업용,13589,25,47,2,13663
127,11140,중구,e,전기,2,비사업용,1624,13,132,1,1770
128,11530,구로구,l,하이브리드(휘발유+전기),1,사업용,354,8,1,0,363
129,11140,중구,e,전기,1,사업용,134,2,94,0,230
130,11215,광진구,z,기타연료,1,사업용,0,0,4,0,4
131,11530,구로구,a,휘발유,2,비사업용,19355,12,88,0,19455
132,11140,중구,n,하이브리드(LPG+전기),2,비사업용,12,0,0,0,12
133,11215,광진구,q,수소,2,비사업용,61,0,2,0,63
134,11530,구로구,a,휘발유,1,사업용,64,0,0,0,64
135,11350,노원구,l,하이브리드(휘발유+전기),1,사업용,106,2,1,0,109
136,11140,중구,m,하이브리드(경유+전기),2,비사업용,163,0,0,0,163
137,11530,구로구,h,휘발유(무연),2,비사업용,46920,27,65,1,47013
138,11350,노원구,a,휘발유,2,비사업용,22474,5,113,0,22592
139,11140,중구,m,하이브리드(경유+전기),1,사업용,4,0,0,0,4
140,11215,광진구,r,수소전기,2,비사업용,6,0,0,0,6
141,11530,구로구,h,휘발유(무연),1,사업용,915,0,0,0,915
142,11350,노원구,a,휘발유,1,사업용,5,0,0,0,5
143,11140,중구,l,하이브리드(휘발유+전기),2,비사업용,4895,11,22,0,4928
144,11215,광진구,c,엘피지,2,비사업용,3250,322,1474,6,5052
145,11530,구로구,g,휘발유(유연),2,비사업용,37,0,0,0,37
146,11140,중구,l,하이브리드(휘발유+전기),1,사업용,215,1,0,0,216
147,11350,노원구,h,휘발유(무연),2,비사업용,53282,29,40,1,53352
148,11215,광진구,c,엘피지,1,사업용,1574,5,320,0,1899
149,11545,금천구,j,CNG,2,비사업용,3,0,3,0,6
150,11350,노원구,h,휘발유(무연),1,사업용,110,0,0,0,110
151,11215,광진구,e,전기,2,비사업용,1898,7,194,4,2103
152,11545,금천구,j,CNG,1,사업용,0,352,0,0,352
153,11350,노원구,g,휘발유(유연),2,비사업용,47,0,0,0,47
154,11545,금천구,b,경유,2,비사업용,17069,1906,8686,180,27841
155,11380,은평구,j,CNG,2,비사업용,7,1,12,0,20
156,11545,금천구,b,경유,1,사업용,124,30,1601,90,1845
157,11140,중구,a,휘발유,2,비사업용,9252,41,46,0,9339
158,11380,은평구,j,CNG,1,사업용,0,457,0,0,457
159,11545,금천구,z,기타연료,2,비사업용,1,16,101,22,140
160,11215,광진구,e,전기,1,사업용,216,29,97,0,342
161,11140,중구,a,휘발유,1,사업용,42,0,0,0,42
162,11380,은평구,b,경유,2,비사업용,24380,2116,7848,166,34510
163,11545,금천구,z,기타연료,1,사업용,0,0,33,0,33
164,11140,중구,h,휘발유(무연),2,비사업용,13643,158,35,0,13836
165,11215,광진구,n,하이브리드(LPG+전기),2,비사업용,23,0,0,0,23
166,11380,은평구,b,경유,1,사업용,22,40,1385,176,1623
167,11545,금천구,q,수소,2,비사업용,77,0,0,0,77
168,11140,중구,h,휘발유(무연),1,사업용,397,0,0,0,397
169,11380,은평구,z,기타연료,2,비사업용,3,42,147,25,217
170,11545,금천구,r,수소전기,2,비사업용,13,0,0,1,14
171,11140,중구,g,휘발유(유연),2,비사업용,8,0,0,0,8
172,11380,은평구,z,기타연료,1,사업용,0,0,3,0,3
173,11545,금천구,c,엘피지,2,비사업용,3188,265,1051,8,4512
174,11170,용산구,j,CNG,2,비사업용,0,0,13,0,13
175,11215,광진구,n,하이브리드(LPG+전기),1,사업용,3,0,0,0,3
176,11380,은평구,q,수소,2,비사업용,129,0,0,0,129
177,11170,용산구,j,CNG,1,사업용,0,10,0,0,10
178,11215,광진구,m,하이브리드(경유+전기),2,비사업용,188,0,0,0,188
179,11380,은평구,q,수소,1,사업용,1,0,0,0,1
180,11170,용산구,b,경유,2,비사업용,12606,1305,3851,112,17874
181,11545,금천구,c,엘피지,1,사업용,1788,3,351,2,2144
182,11215,광진구,m,하이브리드(경유+전기),1,사업용,19,0,0,0,19
183,11380,은평구,r,수소전기,2,비사업용,12,0,0,0,12
184,11170,용산구,b,경유,1,사업용,98,53,808,33,992
185,11215,광진구,l,하이브리드(휘발유+전기),2,비사업용,9063,19,23,0,9105
186,11380,은평구,c,엘피지,2,비사업용,5627,409,1028,19,7083
187,11170,용산구,z,기타연료,2,비사업용,59,23,125,35,242
188,11215,광진구,l,하이브리드(휘발유+전기),1,사업용,235,18,0,0,253
189,11380,은평구,c,엘피지,1,사업용,3516,17,385,3,3921
190,11545,금천구,e,전기,2,비사업용,1498,3,287,3,1791
191,11170,용산구,z,기타연료,1,사업용,0,0,11,0,11
192,11215,광진구,a,휘발유,2,비사업용,16293,5,78,2,16378
193,11545,금천구,e,전기,1,사업용,227,49,190,0,466
194,11545,금천구,n,하이브리드(LPG+전기),2,비사업용,19,0,0,0,19
195,11380,은평구,e,전기,2,비사업용,2376,7,308,6,2697
196,11170,용산구,q,수소,2,비사업용,84,0,0,0,84
197,11380,은평구,e,전기,1,사업용,486,228,245,0,959
198,11215,광진구,a,휘발유,1,사업용,113,0,0,0,113
199,11170,용산구,r,수소전기,2,비사업용,9,0,0,0,9
200,11380,은평구,n,하이브리드(LPG+전기),2,비사업용,46,0,0,0,46
201,11545,금천구,n,하이브리드(LPG+전기),1,사업용,9,0,0,0,9
202,11215,광진구,h,휘발유(무연),2,비사업용,31165,26,63,0,31254
203,11545,금천구,m,하이브리드(경유+전기),2,비사업용,152,0,0,0,152
204,11215,광진구,h,휘발유(무연),1,사업용,633,0,0,0,633
205,11545,금천구,m,하이브리드(경유+전기),1,사업용,4,0,0,0,4
206,11215,광진구,g,휘발유(유연),2,비사업용,30,0,0,0,30
207,11170,용산구,c,엘피지,2,비사업용,1592,202,472,2,2268
208,11545,금천구,l,하이브리드(휘발유+전기),2,비사업용,7978,18,64,0,8060
209,11230,동대문구,j,CNG,2,비사업용,2,4,14,0,20
210,11170,용산구,c,엘피지,1,사업용,380,8,169,0,557
211,11545,금천구,l,하이브리드(휘발유+전기),1,사업용,160,1,1,0,162
212,11230,동대문구,j,CNG,1,사업용,0,19,0,0,19
213,11170,용산구,e,전기,2,비사업용,2304,7,221,2,2534
214,11545,금천구,a,휘발유,2,비사업용,11214,9,72,1,11296
215,11380,은평구,n,하이브리드(LPG+전기),1,사업용,2,0,0,0,2
216,11230,동대문구,b,경유,2,비사업용,19934,1842,7708,171,29655
217,11170,용산구,e,전기,1,사업용,71,0,69,0,140
218,11545,금천구,a,휘발유,1,사업용,18,0,0,0,18
219,11380,은평구,m,하이브리드(경유+전기),2,비사업용,172,0,0,0,172
220,11230,동대문구,b,경유,1,사업용,78,102,1566,93,1839
221,11170,용산구,n,하이브리드(LPG+전기),2,비사업용,15,0,0,0,15
222,11545,금천구,h,휘발유(무연),2,비사업용,30069,15,48,0,30132
223,11380,은평구,m,하이브리드(경유+전기),1,사업용,1,0,0,0,1
224,11230,동대문구,z,기타연료,2,비사업용,3,38,142,41,224
225,11170,용산구,n,하이브리드(LPG+전기),1,사업용,1,0,0,0,1
226,11380,은평구,l,하이브리드(휘발유+전기),2,비사업용,12068,20,41,2,12131
227,11230,동대문구,z,기타연료,1,사업용,0,0,5,0,5
228,11170,용산구,m,하이브리드(경유+전기),2,비사업용,231,0,0,0,231
229,11380,은평구,l,하이브리드(휘발유+전기),1,사업용,79,0,1,0,80
230,11545,금천구,h,휘발유(무연),1,사업용,533,0,0,0,533
231,11170,용산구,m,하이브리드(경유+전기),1,사업용,32,0,0,0,32
232,11380,은평구,a,휘발유,2,비사업용,21511,10,99,3,21623
233,11545,금천구,g,휘발유(유연),2,비사업용,32,0,0,0,32
234,11170,용산구,l,하이브리드(휘발유+전기),2,비사업용,7949,18,22,1,7990
235,11380,은평구,a,휘발유,1,사업용,8,0,0,0,8
236,11230,동대문구,q,수소,2,비사업용,73,0,0,0,73
237,11560,영등포구,j,CNG,2,비사업용,8,3,12,0,23
238,11170,용산구,l,하이브리드(휘발유+전기),1,사업용,235,1,0,0,236
239,11380,은평구,h,휘발유(무연),2,비사업용,46708,33,49,1,46791
240,11230,동대문구,q,수소,1,사업용,1,0,0,0,1
241,11560,영등포구,j,CNG,1,사업용,0,59,0,0,59
242,11170,용산구,a,휘발유,2,비사업용,16873,17,78,2,16970
243,11380,은평구,h,휘발유(무연),1,사업용,49,8,0,0,57
244,11230,동대문구,r,수소전기,2,비사업용,11,0,0,0,11
245,11170,용산구,a,휘발유,1,사업용,102,0,0,0,102
246,11560,영등포구,k,LNG,1,사업용,0,0,0,1,1
247,11380,은평구,g,휘발유(유연),2,비사업용,41,0,0,0,41
248,11230,동대문구,c,엘피지,2,비사업용,3900,357,1203,9,5469
249,11560,영등포구,b,경유,2,비사업용,24660,2785,10511,420,38376
250,11410,서대문구,j,CNG,2,비사업용,4,2,4,0,10
251,11230,동대문구,c,엘피지,1,사업용,1754,3,482,2,2241
252,11170,용산구,h,휘발유(무연),2,비사업용,21153,25,30,0,21208
253,11410,서대문구,j,CNG,1,사업용,0,184,0,0,184
254,11230,동대문구,e,전기,2,비사업용,2266,4,313,2,2585
255,11170,용산구,h,휘발유(무연),1,사업용,162,0,0,0,162
256,11230,동대문구,e,전기,1,사업용,272,2,162,0,436
257,11410,서대문구,b,경유,2,비사업용,16492,1472,4573,120,22657
258,11170,용산구,g,휘발유(유연),2,비사업용,17,0,0,0,17
259,11230,동대문구,n,하이브리드(LPG+전기),2,비사업용,26,0,0,0,26
260,11410,서대문구,b,경유,1,사업용,286,88,1412,109,1895
261,11230,동대문구,n,하이브리드(LPG+전기),1,사업용,5,0,0,0,5
262,11560,영등포구,b,경유,1,사업용,103,93,3526,602,4324
263,11230,동대문구,m,하이브리드(경유+전기),2,비사업용,195,0,0,0,195
264,11560,영등포구,z,기타연료,2,비사업용,3,48,217,29,297
265,11200,성동구,j,CNG,2,비사업용,2,8,18,0,28
266,11230,동대문구,m,하이브리드(경유+전기),1,사업용,54,0,0,0,54
267,11560,영등포구,z,기타연료,1,사업용,0,0,134,0,134
268,11200,성동구,j,CNG,1,사업용,0,229,0,0,229
269,11230,동대문구,l,하이브리드(휘발유+전기),2,비사업용,10140,20,32,0,10192
270,11560,영등포구,q,수소,2,비사업용,171,1,0,0,172
271,11200,성동구,b,경유,2,비사업용,18315,1291,6517,158,26281
272,11230,동대문구,l,하이브리드(휘발유+전기),1,사업용,227,0,4,0,231
273,11560,영등포구,r,수소전기,2,비사업용,17,0,0,0,17
274,11200,성동구,b,경유,1,사업용,322,409,1263,150,2144
275,11230,동대문구,a,휘발유,2,비사업용,17316,11,86,2,17415
276,11560,영등포구,c,엘피지,2,비사업용,4349,367,1215,24,5955
277,11410,서대문구,z,기타연료,2,비사업용,2,33,108,25,168
278,11230,동대문구,a,휘발유,1,사업용,277,0,0,0,277
279,11560,영등포구,c,엘피지,1,사업용,1908,29,419,40,2396
280,11410,서대문구,z,기타연료,1,사업용,0,0,38,0,38
281,11560,영등포구,e,전기,2,비사업용,3256,6,446,6,3714
282,11410,서대문구,q,수소,2,비사업용,106,0,0,0,106
283,11560,영등포구,e,전기,1,사업용,316,18,275,0,609
284,11410,서대문구,r,수소전기,2,비사업용,9,0,0,0,9
285,11560,영등포구,n,하이브리드(LPG+전기),2,비사업용,35,0,0,0,35
286,11230,동대문구,h,휘발유(무연),2,비사업용,35544,28,51,1,35624
287,11410,서대문구,c,엘피지,2,비사업용,3084,277,625,10,3996
288,11560,영등포구,n,하이브리드(LPG+전기),1,사업용,36,0,0,0,36
289,11230,동대문구,h,휘발유(무연),1,사업용,82,0,0,0,82
290,11410,서대문구,c,엘피지,1,사업용,2230,12,203,1,2446
291,11560,영등포구,m,하이브리드(경유+전기),2,비사업용,266,0,0,0,266
292,11410,서대문구,e,전기,2,비사업용,2061,13,186,2,2262
293,11230,동대문구,g,휘발유(유연),2,비사업용,32,0,0,0,32
